Country Name,Date,Business: Mobile phone subscribers,Business: Internet users (per 100 people),"Health: Mortality, under-5 (per 1,000 live births)",Population: Total (count),Finance: GDP per capita (current US$),Mobile subscribers per capita,log(GDP per capita),log(Health: mortality under-5),Region
Paraguay,7/1/2010,5920858,20,25,6454548,2840,0.91732,7.95156,3.21888,The Americas
Guatemala,7/1/2010,18067970,11,32,14388929,2873,1.25569,7.96311,3.46574,The Americas
Guyana,7/1/2010,555397,30,30,754493,2994,0.73612,8.00437,3.40120,The Americas
El Salvador,7/1/2010,7700336,16,16,6192993,3460,1.24339,8.14902,2.77259,The Americas
Ecuador,7/1/2010,14780730,29,20,14464739,4008,1.02185,8.29605,2.99573,The Americas
Belize,7/1/2010,194201,13,17,344700,4064,0.56339,8.30992,2.83321,The Americas
Jamaica,7/1/2010,3181995,26,24,2702300,5133,1.17751,8.54345,3.17805,The Americas
Dominican Republic,7/1/2010,8892783,40,27,9927320,5195,0.89579,8.55545,3.29584,The Americas
Peru,7/1/2010,29115149,34,19,29076512,5292,1.00133,8.57395,2.94444,The Americas
Colombia,7/1/2010,44477653,37,22,46294841,6238,0.96075,8.73841,3.09104,The Americas
St. Lucia,7/1/2010,199000,40,16,174000,6890,1.14368,8.83783,2.77259,The Americas
Dominica,7/1/2010,105567,47,12,67757,6964,1.55802,8.84851,2.48491,The Americas
Grenada,7/1/2010,121946,33,11,104487,7500,1.16709,8.92266,2.39790,The Americas
Panama,7/1/2010,6496155,43,20,3516820,7614,1.84717,8.93774,2.99573,The Americas
Costa Rica,7/1/2010,3035007,37,10,4658887,7774,0.65144,8.95854,2.30259,The Americas
Suriname,7/1/2010,890000,32,31,524636,8292,1.69641,9.02305,3.43399,The Americas
